統合開発環境|とうごうかいはつかんきょう|Integrated Development Environment
蜥蜴目|とかげもく|Squamata (order of scaled reptiles, sometimes esp. the Sauria or Lacertilia)
有鱗類|ゆうりんるい|Squamata (order of scaled reptiles)
有鱗類|ゆうりんるい|Pholidota (order of pangolins)
単純語|たんじゅんご|simple word
リスケジュール||reschedule
リスケ||reschedule
ハシーシ||hashish
ハシシ||hashish
ハシシュ||hashish
ハシッシュ||hashish
ハッシッシ||hashish
リスケジューリング||rescheduling
ボブキャット||bobcat (Lynx rufus)
カラカル||caracal (Caracal caracal); African lynx
カラカラ||crested caracara (Polyborus plancus)
ピルビン酸|ピルビンさん|pyruvic acid; pyruvate
クエン酸回路|クエンさんかいろ|citric acid cycle
枸櫞酸回路|くえんさんかいろ|citric acid cycle
ＴＣＡ回路|ティーシーエーかいろ|TCA (tricarboxylic acid) cycle
基質|きしつ|substrate (i.e. in biochemistry)
基質|きしつ|matrix (i.e. in biology); stroma
空胞|くうほう|vacuole (esp. in an animal cell)
細胞周期|さいぼうしゅうき|cell cycle
細胞運動|さいぼううんどう|cell motility
細胞骨格|さいぼうこっかく|cytoskeleton
細胞分画法|さいぼうぶんかくほう|cell fractionation
細胞内消化|さいぼうないしょうか|intracellular digestion
細胞性粘菌|さいぼうせいねんきん|cellular slime mold
細胞診|さいぼうしん|cytodiagnosis
細胞検査|さいぼうけんさ|cytodiagnosis
細胞工学|さいぼうこうがく|cellular engineering
卵原細胞|らんげんさいぼう|oogonium
遊走細胞|ゆうそうさいぼう|wandering cell
保護細胞|ほごさいぼう|guard cell
プルキニエ細胞|プルキニエさいぼう|Purkinje cell
肥満細胞|ひまんさいぼう|mast cell; mastocyte
ヒーラ細胞|ヒーラさいぼう|HeLa cell
破骨細胞|はこつさいぼう|osteoclast
繊維細胞|せんいさいぼう|fiber cell (fibre)
石細胞|せきさいぼう|stone cell
精細胞|せいさいぼう|spermatid
精原細胞|せいげんさいぼう|spermatogonium
錐体細胞|すいたいさいぼう|cone cell
錐体細胞|すいたいさいぼう|pyramidal cell
かん体細胞|かんたいさいぼう|rod cell
杆体細胞|かんたいさいぼう|rod cell
シュワン細胞|シュワンさいぼう|Schwann cell
樹状細胞|じゅじょうさいぼう|dendritic cell
柔細胞|じゅうさいぼう|parenchymal cell
臭細胞|しゅうさいぼう|olfactory cell
嗅細胞|きゅうさいぼう|olfactory cell
脂肪細胞|しぼうさいぼう|adipocyte
視細胞|しさいぼう|photoreceptor cell
刺細胞|しさいぼう|cnidoblast; nematocyte
始原細胞|しげんさいぼう|initial cell
雑種細胞|ざっしゅさいぼう|hybrid cell
骨細胞|こつさいぼう|osteocyte
骨芽細胞|こつがさいぼう|osteoblast
厚膜細胞|こうまくさいぼう|sclerenchyma cell
厚壁細胞|こうへきさいぼう|sclerenchyma cell
厚角細胞|こうかくさいぼう|collenchyma cell
グリア細胞|グリアさいぼう|glial cell; glia; neuroglia
キラー細胞|キラーさいぼう|killer cell
間細胞|かんさいぼう|interstitial cell
外套細胞|がいとうさいぼう|satellite cell (glial); amphicyte
トリグリセリド||triglyceride
スフィンゴ脂質|スフィンゴししつ|sphingolipid
セラミド||ceramide
複合脂質|ふくごうししつ|complex lipid
単純脂質|たんじゅんししつ|simple lipid
類脂質|るいししつ|lipoid
メモ魔|メモま|compulsive note-taker
オケる||to go to a karaoke bar
ミントキャンディ||mint candy; mints; roll of mints
ミントキャンディー||mint candy; mints; roll of mints
ミントキャンデー||mint candy; mints; roll of mints
エシェリヒア||escherichia coli
エシェリキア||escherichia coli
ＡＣ|エーシー|adult children
ワイ合意|ワイごうい|Wye Accord; Wye River Memorandum
レジデンシャル||residential
レジデンシャルホテル||residential hotel
レジデンシャル・ホテル||residential hotel
ローテク||low technology; low-tech
ロー・テク||low technology; low-tech
ローテータ||rotator
アストラル||astral
人文知識|じんぶんちしき|Specialist in Humanities (Japanese visa category)
人文知職|じんぶんちしき|Specialist in Humanities (Japanese visa category)
無気呼吸|むきこきゅう|anaerobic respiration
酸素呼吸|さんそこきゅう|aerobic respiration
リポソーム||liposome
リポ酸|リポさん|lipoic acid
リポイド||lipoid
リポトロピン||lipotropin; lipotrophin
ＬＰＳ|エルピーエス|lipopolysaccharide; LPS
不飽和結合|ふほうわけつごう|unsaturated bond
灰色海豹|はいいろあざらし|gray seal (Halichoerus grypus); grey seal
ハイイロアザラシ||gray seal (Halichoerus grypus); grey seal
ウェッデル海豹|ウェッデルあざらし|Weddell seal (Leptonychotes weddellii)
ウェッデルアザラシ||Weddell seal (Leptonychotes weddellii)
竪琴海豹|たてごとあざらし|harp seal (Phoca groenlandica)
タテゴトアザラシ||harp seal (Phoca groenlandica)
頭巾海豹|ずきんあざらし|hooded seal (Cystophora cristata)
ズキンアザラシ||hooded seal (Cystophora cristata)
蟹食海豹|かにくいあざらし|crabeater seal (Lobodon carcinophagus)
カニクイアザラシ||crabeater seal (Lobodon carcinophagus)
第四の壁|だいしのかべ|fourth wall (in fiction)
第四の壁|だいよんのかべ|fourth wall (in fiction)
鉄剣|てっけん|iron sword
神獣鏡|しんじゅうきょう|ancient mirror decorated with gods and animals
三角縁神獣鏡|さんかくぶちしんじゅうきょう|triangular rimmed ancient mirror decorated with gods and animals
魏志|ぎし|the history of Wei
戦斧|せんぷ|battleaxe
戦斧|いくさおの|battleaxe
支配株|しはいかぶ|controlling stock; majority shares
山車|やまぐるま|wheel tree (Trochodendron araloides)
ヤマグルマ||wheel tree (Trochodendron araloides)
デウスエクスマキナ||deus ex machina
デウス・エクス・マキナ||deus ex machina
雑技|ざつぎ|performing arts; acrobatics
雑伎|ざつぎ|performing arts; acrobatics
エロ漫画|エロまんが|erotic manga; pornographic manga
エロマンガ||erotic manga; pornographic manga
記号解析|きごうかいせき|symbolic analysis
シュシュ||scrunchie; hair tie covered in fabric
インドシアニン||indocyanine
インドレント||indolent
インバイアロンメント||environment
インバリッド||invalid
インフォメーションセンター||information kiosk; information centre
インフォメーション・センター||information kiosk; information centre
インフルエンザワクチン||flu vaccine; influenza vaccine
インフルエンザ・ワクチン||flu vaccine; influenza vaccine
インフロー||inflow
インプロ||improvisation
インプロ||improvisational theatre
インベスター||investor
インベストメントバンキング||investment banking
インベストメント・バンキング||investment banking
インペラ||impeller
インペル||to impel
インレー||inlay
インレット||inlet
ウィークリーマンション||small apartment rented by the week
ウィキ||Wiki
ウィザー||to wither
ウィザ||to wither
ウィスパー||whisper
ウイスパー||whisper
ウィンナーシュニッツェル||Wiener schnitzel
ウインナーシュニッツェル||Wiener schnitzel
ウィンナシュニッツェル||Wiener schnitzel
ウインナシュニッツェル||Wiener schnitzel
ウィンナー・シュニッツェル||Wiener schnitzel
ウインナー・シュニッツェル||Wiener schnitzel
ウィンナ・シュニッツェル||Wiener schnitzel
ウインナ・シュニッツェル||Wiener schnitzel
ウィンドミル||windmill
ウインドミル||windmill
ウインドラス||windlass
ウェーブフロント||wavefront
ウェッジ||wedge
ウエッジ||wedge
膣壁|ちつへき|vaginal wall
膣内|ちつない|intravaginal
膣内射精|ちつないしゃせい|intravaginal ejaculation
ウェッジヒール||wedge heel; wedgie
ウェッジ・ヒール||wedge heel; wedgie
ウェブアプリケーション||web application
ウェブ・アプリケーション||web application
ウェブカメラ||web camera; webcam
ウェブ・カメラ||web camera; webcam
ウェブサービス||web service; web services
ウェブ・サービス||web service; web services
ウェブトラフィック||web traffic
ウェブ・トラフィック||web traffic
ウェブフォーム||web form
ウェブ・フォーム||web form
ウェブデザイン||web design
ウェブ・デザイン||web design
ウェブ検索|ウェブけんさく|web search
ウェルネス||wellness
ウエルネス||wellness
ウォーター||water
ウォータ||water
ウオーター||water
膣口|ちつこう|vaginal opening
後戯|こうぎ|postcoital activity; afterplay; pillow talk
性反応|せいはんのう|reaction; response
肛門性交|こうもんせいこう|anal intercourse; pederasty
ツイル||twill (fabric)
アーバンツイル||urban twill (fabric)
アーバン・ツイル||urban twill (fabric)
癖っ毛|くせっけ|kinky hair; frizzy hair; unruly hair; curly hair
くせっ毛|くせっけ|kinky hair; frizzy hair; unruly hair; curly hair
包装米飯|ほうそうべいはん|cooked rice pack
セックステクニック||sexual technique
セックス・テクニック||sexual technique
セックステ||sexual technique
東浄|とうちん|toilet in a Zen temple
西浄|せいじん|toilet in a Zen temple
西浄|せいちん|toilet in a Zen temple
色彩豊か|しきさいゆたか|colourful
定年制度|ていねんせいど|mandatory retirement age (system)
とんぶり||belvedere fruit; field caviar; land caviar; mountain caviar; kochia seed
高句麗|こうくり|Goguryeo (ancient Korean kingdom)
イエローキャブ||Yellow Cab
イエローキャブ||Japanese woman who readily sleeps with foreign men (sometimes a stereotype of all Japanese women)
