飛蝗目|ばったもく|Orthoptera
外露地|そとろじ|outer teahouse garden (outside the central gate)
外路地|そとろじ|outer teahouse garden (outside the central gate)
門廊|もんろう|corridor connecting an annex to a pond-side building (in traditional palatial-style architecture)
中門廊|ちゅうもんろう|corridor connecting an annex to a pond-side building (in traditional palatial-style architecture)
主殿|しゅでん|main building (of a villa, palace, etc.)
主殿造り|しゅでんづくり|early phase of the shoin-zukuri residential architecture style
主殿造|しゅでんづくり|early phase of the shoin-zukuri residential architecture style
平安宮|へいあんきゅう|Heian Imperial Palace
内教|ないきょう|Buddhism
南蛮煮|なんばんに|sauteed vegetables with fish or poultry made into a stew
南蛮煮|なんばんに|poultry or fish stew with chili peppers and Welsh onions mixed in
神将|じんしょう|divine generals who protect pilgrims, etc.
神将|しんしょう|divine generals who protect pilgrims, etc.
観瀑|かんばく|waterfall viewing
瀑声|ばくせい|sound of a waterfall
神兵|しんぺい|soldier dispatched by a god; soldier under the protection of the gods
打ち首獄門|うちくびごくもん|beheading followed by mounting of the head on a pike in front of the prison (Edo period)
闇穴道|あんけつどう|road taken by a Chinese ajari buddhist monk when he incurred the wrath of emperor Genso (685-762)
暗穴道|あんけつどう|road taken by a Chinese ajari buddhist monk when he incurred the wrath of emperor Genso (685-762)
暗穴|あんけつ|dark hole
暗穴|あんけつ|idiot; fool
暗穴|あんけつ|historical road
闇穴|あんけつ|dark hole
闇穴|あんけつ|idiot; fool
闇穴|あんけつ|historical road
血の池|ちのいけ|Blood Pond; pool of blood; pond of blood (in hell)
地獄変相|じごくへんそう|picture of Hell; painting representing Hell
地獄絵|じごくえ|picture of Hell; painting representing Hell
熊鷹|くまたか|Hodgson's hawk eagle (Nisaetus nipalensis); mountain hawk-eagle
クマタカ||Hodgson's hawk eagle (Nisaetus nipalensis); mountain hawk-eagle
被官百姓|ひかんびゃくしょう|serf
被官|ひかん|lower government office (ritsuryo system)
被官|ひかん|servant of a higher ranking person (during the middle ages); retainer
被官|ひかん|servant of an urban family
被官|ひかん|serf
被管|ひかん|lower government office (ritsuryo system)
被管|ひかん|servant of a higher ranking person (during the middle ages); retainer
被管|ひかん|servant of an urban family
被管|ひかん|serf
巣ごもり消費|すごもりしょうひ|consumption of goods and services by young working adults who live at home, with their basic living expenses covered by their parents; nest-dweller consumption
イメレス||image response
ほぞ穴|ほぞあな|mortice; mortise
枘穴|ほぞあな|mortice; mortise
枘|ほぞ|tenon; cog; dovetail; pivot
樗材|ちょざい|deadwood
樗材|ちょざい|useless person
舵面|だめん|control surface
一本指|いっぽんゆび|finger; one's finger
末日聖徒|まつじつせいと|Latter-day Saints
樗才|ちょさい|deadwood
樗才|ちょさい|useless person
紅型|びんがた|method of dyeing, developed in Okinawa, in which a single stencil is used to produce richly polychromatic designs; traditional dyed cloth from Okinawa
金銀泥絵|きんぎんでいえ|painting made with gold or silver paint (usu. on a dark background)
幅の狭い|はばのせまい|narrow
地位協定|ちいきょうてい|status of forces agreement; SOFA
酒壺|さかつぼ|sake jar; jar containing alcohol
酒壺|しゅこ|sake jar; jar containing alcohol
酒壷|さかつぼ|sake jar; jar containing alcohol
酒壷|しゅこ|sake jar; jar containing alcohol
六字大明呪|ろくじだいみょうじゅ|great six-syllable mantra ("om mani padme hum")
硬膜外血腫|こうまくがいけっしゅ|epidural hematoma; epidural haematoma
研究責任者|けんきゅうせきにんしゃ|principal investigator; PI
丸太船|まるたぶね|wooden transport ship used on Lake Biwa
丸太船|まるたぶね|vessel made from logs, e.g. large dugout canoe
丸太舟|まるたぶね|wooden transport ship used on Lake Biwa
丸太舟|まるたぶね|vessel made from logs, e.g. large dugout canoe
和親条約|わしんじょうやく|treaty of peace and amity; peace treaty
新選組|しんせんぐみ|Shinsengumi; shogunate police and military force located in Kyoto and dedicated to suppressing anti-shogunate activities (Edo period)
新撰組|しんせんぐみ|Shinsengumi; shogunate police and military force located in Kyoto and dedicated to suppressing anti-shogunate activities (Edo period)
口を合わせる|くちをあわせる|to arrange not to contradict each other
大浚い|おおさらい|large scale rehearsal
大浚|おおさらい|large scale rehearsal
火針|ひばり|heated acupuncture needle; hot acupuncture needle
火鍼|ひばり|heated acupuncture needle; hot acupuncture needle
雲雀骨|ひばりぼね|being thin and bony; bony body
雲雀骨|ひばりぼね|bony old man; bony old woman
本郷|ほんごう|one's hometown
丸子船|まるこぶね|wooden transport ship used on Lake Biwa
居た堪らない|いたたまらない|unable to stay (on); unable to endure being somewhere a second longer; feel like running away
居たたまらない|いたたまらない|unable to stay (on); unable to endure being somewhere a second longer; feel like running away
だらしの無い|だらしのない|slovenly; loose; sluttish; slatternly; untidy; undisciplined; careless
だらしが無い|だらしがない|slovenly; loose; sluttish; slatternly; untidy; undisciplined; careless
コンパニオンアニマル||companion animal; pet
コンパニオン・アニマル||companion animal; pet
エキゾチックアニマル||exotic animal (e.g. tarantula)
エキゾチック・アニマル||exotic animal (e.g. tarantula)
返し針|かえしばり|back stitch; backstitch
お汁粉|おしるこ|sweet red-bean soup
両院制|りょういんせい|bicameral constitution; bicameralism; bicameral system
裂ぱく|れっぱく|cutting through cloth; sound of cutting through cloth
裂ぱく|れっぱく|shrieking sound; woman's scream; loud scream
裂ぱく|れっぱく|cry of the lesser cuckoo (Cuculus poliocephalus)
裂帛|れっぱく|cutting through cloth; sound of cutting through cloth
裂帛|れっぱく|shrieking sound; woman's scream; loud scream
裂帛|れっぱく|cry of the lesser cuckoo (Cuculus poliocephalus)
狭域|きょういき|narrow; short range; micro
角状|かくじょう|horned; horn-shaped; hornlike; corneous; corniculate
角苔|つのごけ|hornwort
ツノゴケ||hornwort
楽語|がくご|words used to describe tempo, dynamics, etc. in music; musical terminology
発散級数|はっさんきゅうすう|divergent series
五次方程式|ごじほうていしき|quintic equation
語中音|ごちゅうおん|medial (in phonics)
私領|しりょう|private land; park
式楽|しきがく|ceremonial music
騎虎|きこ|riding a tiger
騎虎の勢い|きこのいきおい|having no choice but to carry on; having no choice but to go on; unable to change one's course of action; a man riding a tiger cannot disembark halfway through
退っ引きならぬ|のっぴきならぬ|unavoidable; inevitable
口先だけ|くちさきだけ|insincere; giving lip-service; glib
ぱっぱっと||in puffs; in whiffs
ぱっぱっと||in flashes
どかり||falling heavily
怯弱|きょうじゃく|coward
怯弱|きょじゃく|coward
育種学|いくしゅがく|thremmatology; study of plant and animal breeding
影響下|えいきょうか|influenced (by); under an influence
運搬船|うんぱんせん|freighter; cargo ship; carrier
渦巻き状|うずまきじょう|spiral; helical
渦巻状|うずまきじょう|spiral; helical
気が晴れる|きがはれる|to feel refreshed; to feel more cheerful; to feel better
収束級数|しゅうそくきゅうすう|convergent series
予審調書|よしんちょうしょ|minutes of a pre-trial hearing; records of a preliminary examination
穴の開くほど|あなのあくほど|looking hard at; staring at; drilling with one's gaze
穴のあくほど|あなのあくほど|looking hard at; staring at; drilling with one's gaze
穴の空くほど|あなのあくほど|looking hard at; staring at; drilling with one's gaze
穴の明くほど|あなのあくほど|looking hard at; staring at; drilling with one's gaze
六神丸|ろくしんがん|pill made from various animal ingredients (incl. musk, toad venom, cow bezoars, etc.) used as a cardiac stimulant in Chinese medicine
牛黄|ごおう|Oriental bezoar
シャバい||dangerous
シャバい||unsatisfactory; boring
しゃばい||dangerous
しゃばい||unsatisfactory; boring
激写|げきしゃ|taking a spectacular photograph (often of the female form); taking a photo at just the right moment
激写|げきしゃ|powerful photograph; intense photograph
棕櫚箒|しゅろぼうき|hemp-palm broom
惨苦|さんく|terrible pain; terrible hardship; terrible suffering
綿屑|わたくず|cotton waste; flue
にっこり笑う|にっこりわらう|to smile cheerfully; to crack a smile
風船玉|ふうせんだま|toy balloon
他山の石以て玉を攻むべし|たざんのいしもってたまをおさむべし|one should learn from other's mistakes; stones from other mountains can be used to polish one's own gems
蟾酥|せんそ|toad venom (used as an analgesic and cardiac stimulant in Chinese medicine)
菩薩揚げ|ぼさあげ|ceremony performed by Chinese merchants disembarking in Nagasaki (Edo period)
