上右|うえみぎ|upper right (corner)
暦仁|りゃくにん|Ryakunin era (1238.11.23-1239.2.7)
延応|えんおう|En'ō era (1239.2.7-1240.7.16)
仁治|にんじ|Ninji era (1240.7.16-1243.2.26)
寛元|かんげん|Kangen era (1243.2.26-1247.2.28)
宝治|ほうじ|Hōji era (1247.2.28-1249.3.18)
建長|けんちょう|Kenchō era (1249.3.18-1256.10.5)
康元|こうげん|Kōgen era (1256.10.5-1257.3.14)
正嘉|しょうか|Shōka era (1257.3.14-1259.3.26)
正元|しょうげん|Shōgen era (1259.3.26-1260.4.13)
文応|ぶんおう|Bun'ō era (1260.4.13-1261.2.20)
弘長|こうちょう|Kōchō era (1261.2.20-1264.2.28)
文永|ぶんえい|Bun'ei era (1264.2.28-1275.4.25)
建治|けんじ|Kenji era (1275.4.25-1278.2.29)
弘安|こうあん|Kōan era (1278.2.29-1288.4.28)
正応|しょうおう|Shōō era (1288.4.28-1293.8.5)
永仁|えいにん|Einin era (1293.8.5-1299.4.25)
正安|しょうあん|Shōan era (1299.4.25-1302.11.21)
乾元|けんげん|Kengen era (1302.11.21-1303.8.5)
嘉元|かげん|Kagen era (1303.8.5-1306.12.14)
徳治|とくじ|Tokuji era (1306.12.14-1308.10.9)
延慶|えんぎょう|Engyō era (1308.10.9-1311.4.28); Enkei era
延慶|えんけい|Engyō era (1308.10.9-1311.4.28); Enkei era
応長|おうちょう|Ōchō era (1311.4.28-1312.3.20)
正和|しょうわ|Shōwa era (1312.3.20-1317.2.3)
文保|ぶんぽう|Bunpō era (1317.2.3-1319.4.28)
元応|げんおう|Gen'ō era (1319.4.28-1321.2.23)
元亨|げんこう|Genkō era (1321.2.23-1324.12.9)
正中|しょうなか|center of a noh stage
正中|しょうちゅう|center of a noh stage
正中|しょうちゅう|Shōchū era (1324.12.9-1326.4.26)
嘉暦|かりゃく|Karyaku era (1326.4.26-1329.8.29)
元徳|げんとく|Gentoku era (1329.8.29-1331.8.9)
元弘|げんこう|Genkō era (1331.8.9-1334.1.29)
建武|けんむ|Kenmu era (of unified Japan) (1334.1.29-1336.2.29); Kenmu era (of the Northern Court) (1336.2.29-1338.8.28)
延元|えんげん|Engen era (of the Southern Court) (1336.2.29-1340.4.28)
正平|しょうへい|Shōhei era (of the Southern Court) (1346.12.8-1370.7.24)
建徳|けんとく|Kentoku era (of the Southern Court) (1370.7.24-1372.4.?)
弘和|こうわ|Kōwa era (of the Southern Court) (1381.2.10-1384.4.28)
元中|げんちゅう|Genchū era (of the Southern Court) (1384.4.28-1392.10.5)
暦応|りゃくおう|Ryakuō era (of the Northern Court) (1338.8.28-1342.4.27); Rekiō era
暦応|れきおう|Ryakuō era (of the Northern Court) (1338.8.28-1342.4.27); Rekiō era
康永|こうえい|Kōei era (of the Northern Court) (1342.4.27-1345.10.21)
貞和|じょうわ|Jōwa era (of the Northern Court) (1345.10.21-1350.2.27); Teiwa era
貞和|ていわ|Jōwa era (of the Northern Court) (1345.10.21-1350.2.27); Teiwa era
文和|ぶんな|Bunna era (of the Northern Court) (1352.9.27-1356.3.28); Bunwa era
文和|ぶんわ|Bunna era (of the Northern Court) (1352.9.27-1356.3.28); Bunwa era
延文|えんぶん|Enbun era (of the Northern Court) (1356.3.28-1361.3.29)
康安|こうあん|Kōan era (of the Northern Court) (1361.3.29-1362.9.23)
貞治|じょうじ|Jōji era (of the Northern Court) (1362.9.23-1368.2.18); Teiji era
貞治|ていじ|Jōji era (of the Northern Court) (1362.9.23-1368.2.18); Teiji era
応安|おうあん|Ōan era (of the Northern Court) (1368.2.18-1375.2.27)
永和|えいわ|Eiwa era (of the Northern Court) (1375.2.27-1379.3.22)
康暦|こうりゃく|Kōryaku era (of the Northern Court) (1379.3.22-1381.2.24)
永徳|えいとく|Eitoku era (of the Northern Court) (1381.2.24-1384.2.27)
志徳|しとく|Shitoku era (of the Northern Court) (1384.2.27-1387.8.23)
嘉慶|かけい|Kakei era (of the Northern Court) (1387.8.23-1389.2.9); Kakyō era
嘉慶|かきょう|Kakei era (of the Northern Court) (1387.8.23-1389.2.9); Kakyō era
康応|こうおう|Kōō era (of the Northern Court) (1389.2.9-1390.3.26)
応永|おうえい|Ōei era (1394.7.5-1428.4.27)
正長|しょうちょう|Shōchō era (1428.4.27-1429.9.5)
永享|えいきょう|Eikyō era (1429.9.5-1441.2.17)
嘉吉|かきつ|Kakitsu era (1441.2.17-1444.2.5)
文安|ぶんあん|Bun'an era (1444.2.5-1449.7.28); Bunnan era
文安|ぶんなん|Bun'an era (1444.2.5-1449.7.28); Bunnan era
宝徳|ほうとく|Hōtoku era (1449.7.28-1452.7.25)
享徳|きょうとく|Kyōtoku era (1452.7.25-1455.7.25)
康正|こうしょう|Kōshō era (1455.7.25-1457.9.28)
長禄|ちょうろく|Chōroku era (1457.9.28-1460.12.21)
寛正|かんしょう|Kanshō era (1460.12.21-1466.2.28)
文正|ぶんしょう|Bunshō era (1466.2.28-1467.3.5)
応仁|おうにん|Ōnin era (1467.3.5-1469.4.28)
長享|ちょうきょう|Chōkyō era (1487.7.20-1489.8.21)
延徳|えんとく|Entoku era (1489.8.21-1492.7.19)
明応|めいおう|Meiō era (1492.7.19-1501.2.29)
文亀|ぶんき|Bunki era (1501.2.29-1504.2.30)
永正|えいしょう|Eishō era (1504.2.30-1521.8.23)
大永|たいえい|Taiei era (1521.8.23-1528.8.20)
享禄|きょうろく|Kyōroku era (1528.8.20-1532.7.29)
天文|てんぶん|Tenbun era (1532.7.29-1555.10.23)
弘治|こうじ|Kōji era (1555.10.23-1558.2.28)
永禄|えいろく|Eiroku era (1558.2.28-1570.4.23)
元亀|げんき|Genki era (1570.4.23-1573.7.28)
天正|てんしょう|Tenshō era (1573.7.28-1592.12.8)
文禄|ぶんろく|Bunroku era (1592.12.8-1596.10.27)
慶長|けいちょう|Keichō era (1596.10.27-1615.7.13)
元和|げんな|Genna era (1615.7.13-1624.2.30); Genwa era
元和|げんわ|Genna era (1615.7.13-1624.2.30); Genwa era
寛永|かんえい|Kan'ei era (1624.2.30-1644.12.16)
正保|しょうほう|Shōhō era (1644.12.16-1648.2.15); Shōho era
正保|しょうほ|Shōhō era (1644.12.16-1648.2.15); Shōho era
承応|しょうおう|Shōō era (1652.9.18-1655.4.13); Jōō era
承応|じょうおう|Shōō era (1652.9.18-1655.4.13); Jōō era
明暦|めいれき|Meireki era (1655.4.13-1658.7.23)
万治|まんじ|Manji era (1658.7.23-1661.4.25)
寛文|かんぶん|Kanbun era (1661.4.25-1673.9.21)
延宝|えんぽう|Enpō era (1673.9.21-1681.9.29)
延寶|えんぽう|Enpō era (1673.9.21-1681.9.29)
貞享|じょうきょう|Jōkyō era (1684.2.21-1688.9.30)
宝永|ほうえい|Hōei era (1704.3.13-1711.4.25)
正徳|しょうとく|Shōtoku era (1711.4.25-1716.6.22)
享保|きょうほう|Kyōhō era (1716.6.22-1736.4.28)
元文|げんぶん|Genbun era (1736.4.28-1741.2.27)
寛保|かんぽう|Kanpō era (1741.2.27-1744.2.21)
延享|えんきょう|Enkyō era (1744.2.21-1748.7.12)
寛延|かんえん|Kan'en era (1748.7.12-1751.10.27)
宝暦|ほうれき|Hōreki era (1751.10.27-1764.6.2)
宝暦|ほうりゃく|Hōreki era (1751.10.27-1764.6.2)
明和|めいわ|Meiwa era (1764.6.2-1772.11.16)
安永|あんえい|An'ei era (1772.11.16-1781.4.2)
寛政|かんせい|Kansei era (1789.1.25-1801.2.5)
享和|きょうわ|Kyōwa era (1801.2.5-1804.2.11)
天保|てんぽう|Tenpō era (1830.12.10-1844.12.2)
弘化|こうか|Kōka era (1844.12.2-1848.2.28)
嘉永|かえい|Kaei era (1848.2.28-1854.11.27)
安政|あんせい|Ansei era (1854.11.27-1860.3.18)
万延|まんえん|Man'en era (1860.3.18-1861.2.19)
文久|ぶんきゅう|Bunkyū era (1861.2.19-1864.2.20)
元治|げんじ|Genji era (1864.2.20-1865.4.7)
慶応|けいおう|Keiō era (1865.4.7-1868.9.8)
承保|じょうほう|Jōhō era (1074.8.23-1077.11.17); Shōho era; Shōhō era
承保|しょうほ|Jōhō era (1074.8.23-1077.11.17); Shōho era; Shōhō era
承保|しょうほう|Jōhō era (1074.8.23-1077.11.17); Shōho era; Shōhō era
治承|じしょう|Jishō era (1177.8.4-1181.7.14); Chishō era
治承|ちしょう|Jishō era (1177.8.4-1181.7.14); Chishō era
寛喜|かんぎ|Kangi era (1229.3.5-1232.4.2); Kanki era
寛喜|かんき|Kangi era (1229.3.5-1232.4.2); Kanki era
正慶|しょうきょう|Shōkyō era (of the Northern Court) (1332.4.28-1333.5.?); Shōkei era
正慶|しょうけい|Shōkyō era (of the Northern Court) (1332.4.28-1333.5.?); Shōkei era
観応|かんのう|Kannō era (of the Northern Court) (1350.2.27-1352.9.27); Kan'ō era
観応|かんおう|Kannō era (of the Northern Court) (1350.2.27-1352.9.27); Kan'ō era
天和|てんな|Tenna era (1681.9.29-1684.2.21); Tenwa era
天和|てんわ|Tenna era (1681.9.29-1684.2.21); Tenwa era
生産|せいざん|live birth
生産児|せいざんじ|live birth; child born alive
生産率|せいさんりつ|rate of output; production rate
生産率|せいざんりつ|live birth rate
長槍|ながやり|long spear; pike
総スカン|そうスカン|being hated by everyone
総すかん|そうすかん|being hated by everyone
総好かん|そうすかん|being hated by everyone
たる||(those) who are; (that) which is; often used in relation to qualifications and requirements for a position; in the capacity of
村々|むらむら|villages
村村|むらむら|villages
碧色|へきしょく|green; emerald
うだつが上がらない|うだつがあがらない|no hope of getting ahead
卯建が上がらない|うだつがあがらない|no hope of getting ahead
梲が上がらない|うだつがあがらない|no hope of getting ahead
相成る|あいなる|to become (formal)
梅肉|ばいにく|shredded dried plum; plum pulp
ダーティー||dirty (often as in underhand, immoral, illegal)
ダーティ||dirty (often as in underhand, immoral, illegal)
義侠の士|ぎきょうのし|paladin
頭語|とうご|the opening greeting on letters
結び切り|むすびきり|type of ribbon fastening used on wedding gifts, get-well gifts, etc.
結びきり|むすびきり|type of ribbon fastening used on wedding gifts, get-well gifts, etc.
斯う斯う|こうこう|so and so; such and such
トレーニングセンター||training centre (center)
トレーニング・センター||training centre (center)
帰米|きべい|return to the United States
帰米|きべい|term used to refer to Japanese-American children (nisei) who were sent by their parents to Japan before WW2 to receive their schooling
分子線エピタキシー|ぶんしせんエピタキシー|molecular beam epitaxy; MBE
クヌーセンセル||Knudsen cell
直値|ちょくち|immediate data
トレセン||training centre (center)
然りとて|さりとて|however; having said that; but
親のすねをかじる|おやのすねをかじる|to depend on one's parents' (financial) support; to nibble at one's parents shins
親の脛をかじる|おやのすねをかじる|to depend on one's parents' (financial) support; to nibble at one's parents shins
親の脛を齧る|おやのすねをかじる|to depend on one's parents' (financial) support; to nibble at one's parents shins
親の脛を囓る|おやのすねをかじる|to depend on one's parents' (financial) support; to nibble at one's parents shins
親のすねを囓る|おやのすねをかじる|to depend on one's parents' (financial) support; to nibble at one's parents shins
親の臑を噛る|おやのすねをかじる|to depend on one's parents' (financial) support; to nibble at one's parents shins
もしかし||perhaps; maybe; by some chance
もしかしなくても||no need to guess; certainly
イートイン||consuming food and drink in restaurant (as opposed to taking it home)
イート・イン||consuming food and drink in restaurant (as opposed to taking it home)
恥ずい|はずい|embarrassing
観念連合|かんねんれんごう|association (e.g. of two concepts)
ヒズボラ||Hizbollah; Hezbollah; Hisbollah; Hizballah
ヒズボッラー||Hizbollah; Hezbollah; Hisbollah; Hizballah
ヘズボラ||Hizbollah; Hezbollah; Hisbollah; Hizballah
ヘズボッラー||Hizbollah; Hezbollah; Hisbollah; Hizballah
出発当日|しゅっぱつとうじつ|day of departure
こいつ等|こいつら|these guys; these fellows
此奴ら|こいつら|these guys; these fellows
此奴等|こいつら|these guys; these fellows
戻ってくる|もどってくる|to come back
戻って来る|もどってくる|to come back
もどって来る|もどってくる|to come back
戻って行く|もどっていく|to go back
酒匠|さかしょう|master of sake; sake sommelier
利酒師|ききさけし|master of sake; sake advisor
外宇宙|がいうちゅう|outer space
ビンビン||hard (e.g. penis); strong (e.g. beat of music); throbbing (e.g. headache); blaring (e.g. rock music)
びんびん||hard (e.g. penis); strong (e.g. beat of music); throbbing (e.g. headache); blaring (e.g. rock music)
生物多様性|せいぶつたようせい|biodiversity
そうか||is that so? (generally rhetorical)
そっか||is that so? (generally rhetorical)
諷詠|ふうえい|poetic composition
バイアグラ||Viagra
憎み合う|にくみあう|to hate each other; to hate mutually
すれてない||naive
手が空く|てがあく|to be free; to be available
手が空く|てがすく|to be free; to be available
手があく|てがあく|to be free; to be available
手がすく|てがすく|to be free; to be available
雨後の筍|うごのたけのこ|similar things turning up one after another; bamboo shoots after rain
雨後の竹の子|うごのたけのこ|similar things turning up one after another; bamboo shoots after rain
雨後のタケノコ|うごのタケノコ|similar things turning up one after another; bamboo shoots after rain
一纏まり|ひとまとまり|(a) bunch; (a) bundle
一まとまり|ひとまとまり|(a) bunch; (a) bundle
トラクト||tract
祈り会|いのりかい|prayer meeting
恵み深い|めぐみぶかい|gracious; benign
のべつ||ceaselessly; continually; all the time; incessantly
厳重注意|げんじゅうちゅうい|reprimand; stern warning
電源装置|でんげんそうち|power supply (device)
ホッチキス針|ホッチキスはり|staple (for a stapler)
